price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
0.1395724465558195,0,0,0.22588832487309646,0.2754954084098598,0,0,0,0.2579710144927536,0.0,0.4782608695652174,0.0,0.28856179086169886,0.2958163204923368
0.4399049881235154,0,1,0.5786802030456852,0.3609902797916331,1,0,0,0.5449275362318841,0.08298755186721991,0.4434782608695652,0.9880893300248139,0.3958908310334253,0.41351559263861765
0.0997624703087886,1,0,0.1218274111675127,0.5091026260673434,0,0,1,0.1391304347826087,0.0,0.28695652173913044,0.0,0.7117448635387917,0.43854665956565475
0.5026128266033254,2,2,0.42385786802030456,0.24058858278287953,0,1,0,0.22028985507246376,0.1887966804979253,0.5652173913043478,0.0,0.2946948788715118,0.2573525060654477
0.41330166270783847,0,3,0.35279187817258884,0.4059932334461092,0,0,2,0.4028985507246377,0.0,0.7565217391304347,0.0,0.4296228150873965,0.4054677791585301
,2,4,,,0,0,3,,0.31742738589211617,0.8782608695652174,0.0,,
0.17339667458432304,0,1,0.3616751269035533,0.33827399172976746,1,0,0,0.41304347826086957,0.0,0.8260869565217391,0.0,0.5639374425022999,0.364992011361619
0.2060332541567696,0,5,0.19543147208121828,0.4935825143655013,0,0,0,0.22318840579710145,0.0,0.5478260869565217,0.0,0.38362465501379944,0.5361263980117167
0.1467933491686461,0,0,0.37817258883248733,0.37323452016540465,0,0,0,0.22028985507246376,0.15145228215767634,0.5217391304347826,0.0,0.4234897270775836,0.4415645896206876
0.2356294536817102,0,6,0.40609137055837563,0.32436496428763223,1,0,0,0.463768115942029,0.0,0.8956521739130435,0.0,0.6105489113768783,0.4094325107994556
0.5581947743467933,0,6,0.8299492385786802,0.4981472531013372,0,0,2,0.45507246376811594,0.35269709543568467,0.5652173913043478,0.0,0.5553511192885618,0.4896147701047399
0.373396674584323,1,0,0.22081218274111675,0.2942913914397723,0,2,0,0.16521739130434782,0.06224066390041494,0.3652173913043478,0.0,0.2854952468567924,0.3165276051837387
0.22327790973871733,0,0,0.2893401015228426,,2,2,0,0.33043478260869563,0.0,0.23478260869565218,0.0,0.4234897270775836,0.7128232439789337
